retrain_date,n_trees,n_unique_features_used,avg_tree_depth,best_iteration,top_split_features
2023-07-14,51,242,8.0,51,Column_27(69); Column_93(40); Column_36(35); Column_96(33); Column_49(33); Column_197(32); Column_130(32); Column_79(32); Column_102(31); Column_34(30)
2023-09-26,26,218,8.0,26,Column_49(21); Column_130(20); Column_24(20); Column_103(20); Column_81(20); Column_7(19); Column_27(17); Column_21(17); Column_102(17); Column_173(16)
2023-12-08,132,290,8.0,132,Column_48(110); Column_27(106); Column_137(98); Column_49(93); Column_130(89); Column_70(88); Column_96(86); Column_7(85); Column_25(81); Column_108(80)
2024-02-20,51,262,8.0,51,Column_102(48); Column_49(42); Column_36(40); Column_7(40); Column_137(37); Column_61(36); Column_127(35); Column_147(34); Column_70(31); Column_81(31)
2024-05-03,95,270,8.0,95,Column_25(81); Column_81(80); Column_96(80); Column_8(76); Column_102(71); Column_15(69); Column_49(67); Column_17(63); Column_36(60); Column_70(59)
2024-07-16,35,237,8.0,35,Column_102(34); Column_7(34); Column_36(28); Column_26(27); Column_15(27); Column_81(26); Column_8(25); Column_121(25); Column_147(24); Column_127(23)
2024-09-27,35,237,8.0,35,Column_102(34); Column_7(34); Column_36(28); Column_26(27); Column_15(27); Column_81(26); Column_8(25); Column_121(25); Column_147(24); Column_127(23)
2024-12-10,35,237,8.0,35,Column_102(34); Column_7(34); Column_36(28); Column_26(27); Column_15(27); Column_81(26); Column_8(25); Column_121(25); Column_147(24); Column_127(23)
2025-02-21,35,237,8.0,35,Column_102(34); Column_7(34); Column_36(28); Column_26(27); Column_15(27); Column_81(26); Column_8(25); Column_121(25); Column_147(24); Column_127(23)
2025-05-06,72,266,8.0,72,Column_108(59); Column_63(49); Column_96(46); Column_80(46); Column_37(44); Column_26(41); Column_61(40); Column_90(39); Column_53(39); Column_60(37)
2025-07-18,72,266,8.0,72,Column_108(59); Column_63(49); Column_96(46); Column_80(46); Column_37(44); Column_26(41); Column_61(40); Column_90(39); Column_53(39); Column_60(37)
2025-09-30,72,266,8.0,72,Column_108(59); Column_63(49); Column_96(46); Column_80(46); Column_37(44); Column_26(41); Column_61(40); Column_90(39); Column_53(39); Column_60(37)
2025-12-12,72,266,8.0,72,Column_108(59); Column_63(49); Column_96(46); Column_80(46); Column_37(44); Column_26(41); Column_61(40); Column_90(39); Column_53(39); Column_60(37)
2026-02-24,131,276,8.0,131,Column_37(97); Column_81(90); Column_28(85); Column_26(85); Column_130(73); Column_103(71); Column_61(69); Column_162(69); Column_18(69); Column_27(68)
