date,ticker,score,weight,bm_weight,active_weight,grp_Accounting,grp_Price,grp_Sellside,grp_Conditioning,grp_Factor
2018-11-23,EQIX,-0.6317,0.0038,0.02,-0.0162,-0.3373,-0.3645,0.2742,0.0586,0.0073
2018-11-23,TMUS,-1.1202,0.0001,0.02,-0.0199,-0.0855,0.279,0.1346,0.0681,0.0073
2018-11-23,PLD,-0.1376,0.0054,0.02,-0.0146,-0.16,-0.0479,0.3782,0.1173,0.0073
2018-11-23,AMD,-0.5596,0.0024,0.02,-0.0176,0.2106,1.0711,-0.2294,0.0912,0.0073
2018-11-23,CRM,-0.5119,0.0115,0.02,-0.0085,-0.0168,0.1283,0.1805,0.3066,0.0073
2018-11-23,NFLX,1.2474,0.014,0.02,-0.006,0.0964,0.104,-0.2786,0.1243,0.0073
2018-12-07,AAPL,-0.2674,0.0964,0.02,0.0764,0.1,-0.2436,-0.4918,0.1154,-0.015
2018-12-07,MSFT,-0.4159,0.073,0.02,0.053,0.0014,0.2699,0.7266,0.1302,-0.015
2018-12-07,GOOGL,0.587,0.0886,0.02,0.0686,-0.0664,-0.1345,0.4649,0.1211,-0.015
2018-12-07,AMZN,0.9084,0.0976,0.02,0.0776,0.5541,0.2655,0.2376,0.1268,-0.015
2018-12-07,META,-0.4623,0.001,0.02,-0.019,-0.2255,-0.4602,0.1286,0.1183,-0.015
2018-12-07,NVDA,1.2633,0.0112,0.02,-0.0088,0.2229,-0.1788,-1.0617,0.0612,-0.015
2018-12-07,TSLA,0.7432,0.0073,0.02,-0.0127,0.4364,0.9868,0.316,0.1302,-0.015
2018-12-07,PLTR,-0.1089,0.0014,0.02,-0.0186,0.1626,-0.3707,0.4327,0.182,-0.015
2018-12-07,AVGO,-0.3877,0.0116,0.02,-0.0084,0.0237,0.1269,0.1403,-0.016,-0.015
2018-12-07,MU,-0.8851,0.0001,0.02,-0.0199,-0.2527,-0.2602,-0.9062,0.2727,-0.015
2018-12-07,GEV,-0.202,0.0047,0.02,-0.0153,-0.1539,-0.3707,-0.1526,0.0956,-0.015
2018-12-07,VRT,-0.202,0.0001,0.02,-0.0199,-0.1364,-0.1962,0.6367,0.0619,-0.015
2018-12-07,BE,2.9737,0.0602,0.02,0.0402,0.053,0.294,-0.6375,0.0758,-0.015
