date,fund_daily_return,bm_daily_return,active_daily_return,fund_cumulative,bm_cumulative,spx_daily_return,spx_cumulative
2016-12-19,0.0014745251685030474,0.001624525220378897,-0.0001500000518758495,1.001474525168503,1.0016245252203788,0.001975138060378967,1.001975138060379
2016-12-20,0.0073799178244376195,0.005572537525329291,0.0018073802991083283,1.0088653248675143,1.0072061154734595,0.003637520828453145,1.0056198434946657
2016-12-21,-0.0019382414641852016,-0.0029597291619232282,0.0010214876977380266,1.0069099002630775,1.0042250581614254,-0.002457327062305281,1.0031487066388551
2016-12-22,0.0022002015384984678,0.0015394544472671938,0.000660747091231274,1.0091253049747657,1.005771016893269,-0.00186298660592088,1.0012798540346401
2016-12-23,0.003976676876450611,0.0027454149655628526,0.0012312619108877584,1.0131382702405,1.008532275694977,0.001251680702002655,1.0025331367052392
2016-12-26,0.0001542117395894795,-0.00011300531162580134,0.00026721705121528086,1.0132945080555984,1.0084183061908774,,
2016-12-27,0.01147873965201034,0.006094099626592283,0.005384640025418057,1.0249258519043807,1.0145637078140841,0.002248441772426002,1.0047872740880486
2016-12-28,-0.014554506263008578,-0.009319110839771324,-0.005235395423237255,1.010008562173719,1.0051088761669553,-0.00835654596100277,0.9963907230511011
2016-12-29,0.0016567873338433862,-0.0005833826252610801,0.002240169959104466,1.0116819315666017,1.0045225131121038,-0.0002933437633337865,0.9960984380466504
2016-12-30,-0.009921082204631235,-0.0074163734386526155,-0.0025047087659786195,1.0016449519585893,0.9970725990273306,-0.004637080639855018,0.9914794492641945
2017-01-02,-6.301865675695072e-05,0.0005525325269357083,-0.000615551183692659,1.0015818296391694,0.9976235140700096,,
2017-01-03,0.0052299745677160435,0.007874479405990741,-0.0026445048382746977,1.0068200771356688,1.005479279886486,0.008486575577422162,0.999893714543836
2017-01-04,0.00825024298247971,0.006786804433592852,0.001463438548886858,1.015126587411677,1.0123032711211053,0.00572230858833489,1.0056154149339922
2017-01-05,0.00023662628560756037,-9.075927798956845e-05,0.00032738556359712884,1.0153667930454777,1.012211395207112,-0.0007706704833204681,1.0048404168161305
2017-01-06,0.005157862579945674,0.00455334003686593,0.0006045225430797441,1.0206039154322466,1.0168203378786804,0.00351696782723665,1.00837440823358
2017-01-09,0.0035035672216253352,0.00035033893945154835,0.003153228282173787,1.0241796698566175,1.0171765696374655,-0.003548559934650197,1.0047961312093956
2017-01-10,-0.0013142851116162797,0.0026127689125534314,-0.003927054024169711,1.0228336057649048,1.0198342169571921,0.0,1.0047961312093956
2017-01-11,0.0015783628427742868,0.0028663615582002343,-0.0012879987154259475,1.024448008322585,1.0227574305524154,0.002829564987438804,1.0076392671617798
2017-01-12,-0.0037006424847072575,-0.0031165791571257395,-0.000584063327581518,1.0206568924996129,1.0195699260615603,-0.002144753265474808,1.0054781295531139
2017-01-13,0.00410305384819408,0.0014075927482318246,0.002695461099962255,1.0248447026900693,1.0210050652957998,0.00184986170081558,1.0073381250359819
2017-01-16,-0.0006557262660044669,-0.0008953984302473616,0.0002396721642428947,1.0241726850999398,1.0200908589630593,,
2017-01-17,-0.006605011950864933,-0.0038385063902859682,-0.0027665055605789646,1.0174080122751052,1.0161752336822574,-0.002967502549854006,1.0043488465813724
2017-01-18,0.005804832147700878,0.0030077788474163142,0.0027970533002845636,1.0233138950120881,1.0192316640553951,0.001763753973958115,1.0061202708507706
2017-01-19,0.00614351024355139,0.0012190546566019822,0.004924455586949407,1.0296006344084634,1.020474163161618,-0.003609329677052964,1.0024888510985044
2017-01-20,0.002814700638958295,0.00415789073303861,-0.001343190094080315,1.0324986519720047,1.0247171832279331,0.003366185299223723,1.0058634143317078
2017-01-23,0.0019328288860829255,0.0015424341878099532,0.0003903946982729723,1.0344942951913778,1.0262977420441801,-0.002690077532349178,1.003157563760202
2017-01-24,0.010799931969225086,0.011677874756418509,-0.0008779427871934229,1.0456667632019963,1.0382827185385672,0.006564541762317022,1.00974283348169
2017-01-25,0.006863293095405204,0.008294102411954178,-0.0014308093165489744,1.0528434806779752,1.0468943417386884,0.008026069375062894,1.0178470995141866
2017-01-26,0.002495623129045224,0.000775709556076901,0.001719913572968323,1.0554709812196195,1.047706427683778,-0.0007353037152416642,1.017098672760366
2017-01-27,0.005320131865209191,0.0011027291369674632,0.004217402728241728,1.0610862260196097,1.048861764088573,-0.000866468119198105,1.0162173891863404
2017-01-30,-0.00623562838289786,-0.004898085681795926,-0.001337542701101934,1.0544696866319399,1.0437243492997075,-0.006009526341248739,1.0101104040175901
2017-01-31,-0.0016109173231703667,0.000401351699586027,-0.0020122690227563937,1.0527710231469865,1.0441432498411982,-0.0008899995615766487,1.0092114062008704
2017-02-01,0.00798557177632804,0.005527241860110407,0.0024583299162176334,1.061178001716365,1.0499144821196722,0.0002983935020428596,1.0095125483266683
2017-02-02,0.0025568819243098023,0.0012953068387953027,0.0012615750855144996,1.0638913085674289,1.051274443528512,0.0005702879954376794,1.0100882612142226
2017-02-03,0.002108916057899728,0.003242775769031626,-0.0011338597111318978,1.0661349660319266,1.0546834908205884,0.007264835478001608,1.0174263862502047
2017-02-06,0.006679256835306959,0.0021528954621939833,0.004526361373112976,1.073255955291155,1.0569541141220269,-0.002115416423640437,1.0152741057628858
2017-02-07,0.0042717049005094295,0.0009808043719956219,0.0032909005285138076,1.0778405880148731,1.0579907793381567,0.0002268206720870136,1.0155043909179076
2017-02-08,0.003004507628774456,0.0056090148275888645,-0.0026045071988144083,1.0810789682841664,1.0639250653069168,0.0006933905489561187,1.0162085320649934
2017-02-09,0.0021266279094944943,0.003535749657253155,-0.0014091217477586607,1.083378020990487,1.0676868379919189,0.005752461138202714,1.0220542321540074
2017-02-10,-0.0007956009061981459,0.0017115974716790593,-0.002507198377877205,1.082516084455232,1.0695142880843709,0.003566058746809819,1.0256989375882941
2017-02-13,-0.0002855340657705854,0.005011457057400791,-0.005296991123171377,1.0822069892363755,1.0748741130113821,0.005245887483269263,1.031079638806591
2017-02-14,-0.0009337412256913921,-0.0007340875429120801,-0.00019965368277931198,1.0811964879557943,1.0740850613148218,0.004007301621389514,1.0352114859149624
2017-02-15,0.0015767021591482238,0.0026274957409854766,-0.0010507935818372528,1.0829012127928175,1.0769072152388828,0.004992342508064018,1.0403796162209318
2017-02-16,-0.005630123791497134,-0.0016901923037535218,-0.003939931487743613,1.0768043449108315,1.0750870349518293,-0.0008641055656061214,1.039480618404212
2017-02-17,0.0049754309140098985,0.0029685342624754096,0.002006896651534489,1.0821619105368412,1.078278467650227,0.00167858147084643,1.0412254713095692
