feature,importance,group
pos_ret_ratio_21d,17.625,Price
best_roe_chg_21d,17.375,Accounting
regime_rev_breadth_sales,17.25,Conditioning
sales_rev_quality_composite,16.75,Sellside
vol_change_21d,16.5,Price
eps_rev_diff_21d,16.5,Sellside
eps_rev_adj_diff_21d,16.25,Sellside
ret_skew_21d,15.625,Price
sales_rev,15.5,Sellside
best_roe_accel,15.5,Accounting
rev_combined,15.25,Sellside
eps_rev_level_persist_21d,15.25,Sellside
sales_rev_stability_score,15.125,Sellside
best_px_bps_ratio_chg_21d,15.0,Accounting
eps_rev_stability_score,15.0,Sellside
eps_rev,14.875,Sellside
eps_rev_quality_composite,14.875,Sellside
regime_breadth_50d,14.75,Conditioning
best_peg_ratio_accel,14.375,Accounting
regime_rev_breadth_eps,14.0,Conditioning
eps_rev_rank,14.0,Sellside
sales_rev_level_persist_21d,13.75,Sellside
best_ev_to_best_ebitda_chg_21d,13.625,Accounting
sales_rev_adj_diff_21d,13.25,Sellside
sales_rev_rel_strength,12.875,Sellside
sales_rev_accel,12.75,Sellside
eps_rev_rel_strength,12.75,Sellside
best_peg_ratio_chg_21d,12.5,Accounting
sales_rev_earn_adj_diff,12.25,Sellside
ret_kurt_21d,11.875,Price
tg_upside_diff_21d,11.625,Sellside
mom_rank_63d,11.0,Price
regime_mkt_ret_21d,10.875,Conditioning
sent_21d_accel,9.875,Sellside
rel_mom_63d,9.75,Price
reversal_21d,8.625,Price
eps_rev_accel,8.625,Sellside
cal_month_in_qtr,8.5,Conditioning
eps_rev_earn_adj_diff,8.25,Sellside
sales_rev_level_dir,7.875,Sellside
regime_dispersion_21d,7.75,Conditioning
eps_rev_level_dir,7.0,Sellside
fac_F_Growth_mom_63d,6.875,Factor
fac_dxy_mom_21d,6.625,Factor
tg_upside_diff_5d,6.625,Sellside
sent_21d,6.25,Sellside
mom_rank_21d,6.125,Price
cal_is_jan,6.0,Conditioning
fac_F_MinVol_mom_21d,5.625,Factor
rel_mom_21d,5.625,Price
sales_rev_confirmed_chg,5.5,Sellside
