asof,ticker,target_weight
2026-04-22,AAPL,0.09286628001211432
2026-04-22,MSFT,0.07445239362146266
2026-04-22,GOOGL,0.09325502481347732
2026-04-22,AMZN,0.06358207934926463
2026-04-22,META,0.038465817766045476
2026-04-22,NVDA,0.1139627747666824
2026-04-22,TSLA,0.003142867359003937
2026-04-22,PLTR,0.009039815710633715
2026-04-22,AVGO,0.04634377085669189
2026-04-22,MU,0.012431579853351736
2026-04-22,GEV,0.006596358339796722
2026-04-22,VRT,0.0023622720266276054
2026-04-22,BE,0.0015119139285065756
2026-04-22,LITE,0.012210512056757087
2026-04-22,000660,0.044812298310485055
2026-04-22,005930,0.04733016893527318
2026-04-22,UNH,0.007011463845858098
2026-04-22,LLY,0.018093387350107213
2026-04-22,ISRG,0.0036217780523034285
2026-04-22,ABBV,0.007838547026071702
2026-04-22,REGN,0.0015189441939103957
2026-04-22,JPM,0.007572426690180674
2026-04-22,V,0.01470933171092445
2026-04-22,MA,0.011330221010657351
2026-04-22,BLK,0.0036799117358797344
2026-04-22,SPGI,0.004997205041942784
2026-04-22,GS,0.005628541454111481
2026-04-22,COST,0.01154195435118079
2026-04-22,HD,0.0075887699711300926
2026-04-22,PG,0.007259159678015544
2026-04-22,MCD,0.0046064463758419645
2026-04-22,WMT,0.019157390298719598
2026-04-22,CAT,0.004795421778990072
2026-04-22,HON,0.002917630838238824
2026-04-22,DE,0.0016148450561095443
2026-04-22,UNP,0.0015565041847602837
2026-04-22,LMT,0.002654504554581696
2026-04-22,ETN,0.0016518581384451848
2026-04-22,XOM,0.005852511357563464
2026-04-22,LNG,0.0012538065323202273
2026-04-22,FCX,0.001997063857872157
2026-04-22,LIN,0.0024647739035723393
2026-04-22,NEE,0.002005212742030208
2026-04-22,AMT,0.0038113992944926725
2026-04-22,EQIX,0.002181517807007059
2026-04-22,TMUS,0.004690536307926521
2026-04-22,PLD,0.0027890243031083468
2026-04-22,AMD,0.010890920334991403
2026-04-22,CRM,0.0036010761668194913
2026-04-22,NFLX,0.008859419571796213
2026-04-22,TER,0.0010719220387486069
2026-04-22,GLW,0.0014737186543182861
2026-04-22,JNJ,0.008250886446649461
2026-04-22,WFC,0.0035697821144224386
2026-04-22,MPC,0.0105718915847482
2026-04-22,LRCX,0.007245499573462761
2026-04-22,AMAT,0.006646832440190737
2026-04-22,PANW,0.0032378825629397895
2026-04-22,FN,0.00027183511565315947
2026-04-22,MPWR,0.001366383889356917
2026-04-22,BAC,0.002307539974330472
2026-04-22,CSCO,0.003908121870410641
2026-04-22,INTC,0.003223097954240565
2026-04-22,ORCL,0.036206167983926445
2026-04-22,TSM,0.04653900784603628
